movieId,title,genres,average_rating
1,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,7.842321313586607
2,Jumanji ,Adventure|Children|Fantasy,6.423664808487682
3,Grumpier Old Men ,Comedy|Romance,6.301586055276382
4,Waiting to Exhale ,Comedy|Drama|Romance,5.720710917664127
5,Father of the Bride Part II ,Comedy,6.128679493504358
6,Heat ,Action|Crime|Thriller,7.669539748953975
7,Sabrina ,Comedy|Romance,6.73244869618886
8,Tom and Huck ,Adventure|Children,6.279661016949152
9,Sudden Death ,Action,6.008331229487503
10,GoldenEye ,Action|Adventure|Thriller,6.85982210577122
11,"American President, The ",Comedy|Drama|Romance,7.335021747508671
12,Dracula: Dead and Loving It ,Comedy|Horror,5.238169526781071
13,Balto ,Adventure|Animation|Children,6.540355677154583
14,Nixon ,Drama,6.863025070562842
15,Cutthroat Island ,Action|Adventure|Romance,5.442116111301958
16,Casino ,Crime|Drama,7.574475423972406
17,Sense and Sensibility ,Drama|Romance,7.9367621443777825
18,Four Rooms ,Comedy,6.745964642582629
19,Ace Ventura: When Nature Calls ,Comedy,5.214575672190649
20,Money Train ,Action|Comedy|Crime|Drama|Thriller,5.760097919216646
21,Get Shorty ,Comedy|Crime|Thriller,7.163079985072771
22,Copycat ,Crime|Drama|Horror|Mystery|Thriller,6.638130728170007
23,Assassins ,Action|Crime|Thriller,6.294989414255469
24,Powder ,Drama|Sci-Fi,6.3988961364776715
25,Leaving Las Vegas ,Drama|Romance,7.378676811728681
26,Othello ,Drama,7.255079825834543
27,Now and Then ,Children|Drama,6.82288496652465
28,Persuasion ,Drama|Romance,8.112519809825674
29,"City of Lost Children, The  ",Adventure|Drama|Fantasy|Mystery|Sci-Fi,7.9035324492430465
30,Shanghai Triad  ,Crime|Drama,7.262090483619345
31,Dangerous Minds ,Drama,6.5
32,Twelve Monkeys  ,Mystery|Sci-Fi|Thriller,7.7959360618927995
33,Wings of Courage ,Adventure|Romance|IMAX,5.924242424242424
34,Babe ,Children|Drama,7.285962301587301
35,Carrington ,Drama|Romance,6.998661311914324
36,Dead Man Walking ,Crime|Drama,7.885055261893321
37,Across the Sea of Time ,Documentary|IMAX,5.965116279069767
38,It Takes Two ,Children|Comedy,5.705244122965642
39,Clueless ,Comedy|Romance,6.827004380118073
40,"Cry, the Beloved Country ",Drama,7.285231116121759
41,Richard III ,Drama|War,7.702558635394456
42,Dead Presidents ,Action|Crime|Drama,6.107779578606159
43,Restoration ,Drama,6.934195064629847
